subject,tags,rating,votes,ratings,原名,发售日期,碟片数量,艺术家,价格,作曲,播放时长,厂牌,编曲,作词,版本特性,录音,别名,发行商,中文名,插图,制作人,商品编号,介质,英文名,Conductor,编号,Piano,Keyboard,Drums,Band,Choir,Orchestra,Arrangement,Sound Director,官方网站,原作,ASIN,发布,制作,条型码,品番
163164,松本文纪 OST サクラノ詩 galgame 神曲 樱之诗 钢琴 2015 文艺 ACG サウンドトラックCD 松本文紀 ざくざくと散る錆びた夢 ピクセルビー 枕 平庸 松本 懂的都懂，yyds 厉害了 O.S.T. VGM cd GAME 试试 ADV AVG うさ 游戏 2015年,9.378,558,"['358', '108', '61', '20', '6', '2', '1', '0', '1', '1']",サクラノ詩 サウンドトラックCD,2015-12-27,2,うさ,"￥2,500",松本文紀(szak) / ピクセルビー,,枕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238923,OST 光田康典 Xenoblade 平松健治 游戏音乐 2018年 ACE 2018 Xeno Xenoblade2 II 清田愛未 清田爱未 RPG XB2的 真 发现 OST就是 满分 神作 游戏 GAME 青田爱未 打了把XB1DE50多 小时,9.365,255,"['153', '59', '32', '7', '2', '2', '0', '0', '0', '0']",Xenoblade2 Original Soundtrack,2018-05-23,5,Jen Bird、アヌーナ,"￥ 4,860",光田康典、ACE(工藤ともり、CHiCO)、平松建治、清田愛未,327 分,SLEIGH BELLS,光田康典、Mariam Abounnasr、ACE(工藤ともり、CHiCO)、平松建治、清田愛未、吉村隆行,高橋哲哉,Soundtrack,,Xenoblade Chronicles 2 Original Soundtrack,,异度神剑2 游戏原声集,,,,,,,,,,,,,,,,,,,,,,
18305,菅野洋子 OST 星际牛仔 菅野よう子 cowboybebop 1998 Cowboy anime 动漫原声带 日本 カウボーイビバップ steve_conte 爵士 动画 シートベルツ 流行 神配乐 1998年 无愧世界第一 补 渡边信一郎 摇滚 经典 VICTOR 神曲 OP jazz,9.269,435,"['249', '107', '55', '17', '1', '0', '2', '1', '0', '3']",COWBOY BEBOP SOUNDTRACK 1,1998-05-21,1,シートベルツ、Steve Conte,"￥ 3,045",菅野よう子,53 m,ビクターエンタテインメント,菅野よう子,Tim Jensen,Soundtrack,ビクターエンタテインメント,,,,,,,,,,,,,,,,,,,,,,,,,
205970,Narcissu OST galgame 水仙 水仙十周年 水月陵 nekoneko系 菊地創 Ebi 2016 治愈 上松範康 REM 2016年 Elements　Garden ゲーム GAME cd 藤間仁 AVG,9.317,189,"['101', '56', '26', '3', '3', '0', '0', '0', '0', '0']",narcissu ORIGINAL SOUND TRACKS,2016-12-29(C91)(CD)、2017-05-01(Digital),2,真里歌 / KAKO / 彩羅 / 瑞田茉莉 / REM / eufonius,1836 JPY(CD)、¥ 36(Digital),上松範康 / 丸山公詳 / sin / Ebi / 僧天 / 諸田英慈 / onoken / 水月陵 / 石橋弘史 / maru(丸山公詳) / 藤間仁 / 矢野雅士 / sentive / 443 / MASA(Dreaming Rabbit) / 菊地創,130m(CD)、145m(Digital),ステージ☆なな,上松範康 / 丸山公詳 / sin / ebi / 僧天 / 諸田英慈 / onoken / 水月陵 / 石橋弘史 / maru(丸山公詳) / 藤間仁 / 矢野雅士 / sentive / 443 / MASA(Dreaming Rabbit) / 菊地創,kaoru / Takashi / 三澤秋 / 海富一 / Lira / 片岡とも / riya,,,Narcissu 10th Anniversary Soundtrack,,,,,,CD、Digital,,,,,,,,,,,,,,,,,,
616,CLANNAD key 麻枝准 OST 折户伸治 治愈 我眼里怎么突然进沙子了 神曲 BGM 2004 音乐 riya クラナド 戸越まごめ galgame 日本 折戸伸治 游戏 Lia 童年记忆 eufonius 原声集 2004年 动画 GAME 催泪 有几个非常不错 2004-08 CALNNAD 潮鳴り,9.153,1487,"['715', '454', '222', '63', '16', '11', '0', '0', '0', '6']",CLANNAD Original SoundTrack,2004.08.13,3,Lia / riya,"￥3,800＋税",戸越まごめ / 麻枝准 / 折戸伸治 / eufonius,72:27+65:45+69:00,Key Sounds Label,戸越まごめ / 菊地創,riya / 魁 / 萩原ゆう / 麻枝准,,,,,,,,KSLA-0012～0014,,,,,,,,,,,,,,,,,,,
18311,菅野よう子 OST 星际牛仔 菅野洋子 jazz 2002 カウボーイビバップ anime O.S.T. live cowboybebop Pierre_Bensusan シートベルツ Tulivu-Donna_Cumberbatch ，星际牛仔 _Coupeau 补 大冢宗一郎 Sydney_Thiam Valentin Collection VOCAL cd 山根麻以 日本 动画 ， steve_conte new-age,9.266,192,"['111', '50', '19', '7', '2', '0', '1', '0', '0', '2']",COWBOY BEBOP CD BOX,2002-06-21,5,シートベルツ、山根麻衣(山根麻以)、Valentin Coupeau、Gabriela Robin(菅野よう子)、Sydney Thiam、Tulivu-Donna Cumberbatch、Pierre Bensusan、Steve Conte、大冢宗一郎、多田葵、Emily Bindiger、Raj Ramayya、江原正士,"￥ 10,290",菅野よう子,231 m,ビクターエンタテインメント,菅野よう子,Tim Jensen、Valentin Coupeau、Gabriela Robin(菅野よう子)、Sydney Thiam、Cris Mosdell、Pierre Bensusan、Brian Richy、ナベシン&ヨーコ(渡辺信一郎、菅野よう子),"Original Soundtrack, Vocal, Drama",ビクターエンタテインメント,,,星际牛仔CDBOX,,,,,,,,,,,,,,,,,,,,,,
4224,高达 30年业界良心 OST UC系列 近代日本音乐发展史 2010 平成高达 田中理惠 桑岛法子 中岛美嘉 OP ED GUNDAM SEED之后档次提升好多 林原惠 VOCAL 石川智晶 Vicctor.Entertainment Seed之后只是录音技术提升了吧 2010年 无 145 Artists 我喜欢的作品 补 主题歌集 ROBO songs 精选 合集,9.247,198,"['92', '71', '28', '6', '1', '0', '0', '0', '0', '0']",GUNDAM SONGS 145,2010-02-24,10,西川貴教、玉置成実、CHEMISTRY、田中理恵、TWO-MIX、石川智晶、ROMANTIC MODE、林原めぐみ、立木文彦、中島美嘉、See-Saw、UVERworld、桑島法子、恒松あゆみ、ステレオポニー、柿島伸次、奥井亜紀,30000円,,634分钟,,,,Limited Edition,,GUNDAM 30th ANNIVERSARY BOX GUNDAM SONGS 145,Vicctor Entertainment =music=,高达30周年纪念 145曲全集结,,,,,,,,,,,,,,,,,,,,,,
27985,久石让 OST 宫崎骏动画 音乐会 久石譲 live 现场演出 日本 2009 动漫游戏原声 藤澤麻衣 平原綾香 anime 大橋のぞみ 吉卜力 Concert 补 2009年 宫崎骏 藤岡藤巻 林正子 我眼里怎么突然进沙子了 SYMPHONY,9.248,202,"['114', '47', '27', '9', '1', '4', '0', '0', '0', '0']",久石譲 in 武道館 ~宮崎アニメと共に歩んだ25年間~,2009-07-03,2,久石譲、新日本フィル・ワールド・ドリーム・オーケストラ、栗友会合唱団、東京少年少女合唱隊、林正子、平原綾香、藤澤麻衣、藤岡藤巻、大橋のぞみ,"￥ 4,935",久石譲,115 m,,久石譲、宮野幸子、山下康介、長生淳,宮崎駿,Color / Dolby / Widescreen,ウォルトディズニースタジオホームエンターテイメント,,ウォルトディズニースタジオホームエンターテイメント,久石让在武道馆~与宫崎骏动画一同走过的25年~,,,,DVD,,,,,,,,,,,,,,,,,4959241981301,
209615,OST MONACA 岡部啓一 尼尔 2017 买音乐送游戏 nier 帆足圭吾 游戏 神配乐 尼尔机械纪元 GAME ACG Nier&DOD 神曲 2017年 我喜欢的作品 2017年3月 NieR:Automata 古典味 厉害了 SquareEnixMusic 横尾太郎 爵音 无话可说 音乐专辑 游戏原声 原声 VGM cd,9.149,497,"['198', '196', '85', '15', '3', '0', '0', '0', '0', '0']",NieR:Automata Original Soundtrack,2017-03-29,3,Emi Evans / J'Nique Nicole / 河野マリナ(河野万里奈) / YoRHa,"￥3,456",岡部啓一 / 帆足圭吾 / 高橋邦幸 / 石濱翔,214 m,Square Enix Music,岡部啓一 / 帆足圭吾 / 高橋邦幸,J'Nique Nicole / 横尾太郎(ヨコオタロウ),,Sound City Studio / MONACA STUDIO,,,,,,,,,,,,,,,,,,,,,,,,,
43259,OST 雑音工房NOISE 腐姬 galgame liar-soft 2002 椎名治美 liar 杂音工房noise GAL 2002年 SOFT 九十九百太郎 長崎繁 Taz AVG VGM 游戏 ゲーム,9.206,204,"['94', '70', '29', '10', '1', '0', '0', '0', '0', '0']",腐り姫～euthanasia～ゲームディスク,2002,1,,,雑音工房NOISE,60min,,,,,,腐り姫～euthanasia～ OST,,腐姬 原声音乐,,,,,,,,,,,,,,,,,,,,,,
118788,OST 增田俊郎 蟲師 増田俊郎 虫师 2015 2015年 Ally_Kerr 冷饭 补 治愈,9.265,147,"['81', '43', '17', '3', '1', '0', '0', '0', '0', '2']",蟲音 全,2015-01-28,2,Ally Kerr,"￥ 3,456",増田俊郎、Ally Kerr,,ソニー・ミュージックエンタテインメント、マーベラス,増田俊郎、Ally Kerr,Ally Kerr,,株式会社マーベラス,「蟲師」オリジナルサウンドトラック,株式会社マーベラス,,,,,,,,,,,,,,,,,,,,,,,
4974,OST 尼尔 MONACA nier 神配乐 游戏 岡部啓一 2010 GAME DOD系列 RPG Nier&DOD 2010年 Emi_Evans 原声 龙背上骑兵外传 PS3,9.213,174,"['79', '65', '22', '6', '0', '2', '0', '0', '0', '0']",NieR Gestalt & Replicant Original Soundtrack,2010-04-21,2,Emi Evans、中川奈美,"￥ 2,800",岡部啓一、石濱翔、帆足圭吾、西村隆文,2:30:05,スクウェア・エニックス、ソニー・ミュージックディストリビューション,岡部啓一、石濱翔、帆足圭吾、西村隆文、高田龍一,Emi Evans,,SMD,ニーアゲシュタルト&レプリカント オリジナル・サウンドトラック,,尼尔 完全形态&伪装者 OST,,,,,,,,,,,,,,,,,,,,,,
8063,OST 素晴らしき日々 松本文紀 galgame 夜の向日葵 ryo 美好的每一天 2010 ケロQ szak 松本文纪 游戏 2010年 VGM O.S.T. 小さな旋律 ピクセルビー 神曲 うさ 游戏原声集 空力诗 夏の大三角 松本文紀　ピクセルビー HB_STUDIO 治愈 AVG ADV cd GAME 2010-05,9.077,545,"['225', '188', '99', '25', '5', '1', '0', '0', '1', '1']",素晴らしき日々 サウンドトラックCD,2010年05月03日,2,うさ、ピクセルビー,"2,500円",ryo、松本文紀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254889,OST 麻枝准 水月陵 key 折户伸治 galgame 竹下智博 催泪 2018 どんまる 夜は短く、空は遠くて key社 折戸伸治 Pockets 已入 YURiKA rionos 2018-09 岩井映美里 Summer_Pockets 2018年 summer 游戏 ADV VGM KSL 水谷瑠奈 鈴木このみ AVG ゲーム,9.108,323,"['147', '99', '57', '11', '6', '2', '0', '0', '1', '0']",Summer Pockets Original SoundTrack,2018.09.26,3,岩井映美里、YURiKA、水谷瑠奈、鈴木このみ、rionos,"￥3,500＋税",折戸伸治、麻枝准、どんまる、竹下智博、水月陵,60:44+68:59+57:16,Key Sounds Label,折戸伸治、どんまる、竹下智博、水月陵、柳川和樹、bermei.inazawa、しょうゆ、中山真斗、塚越雄一朗,魁、新島夕、麻枝准、ハサマ,,,,,,,,KSLA-0149～151（PC流通版） / KSLM-0149～151（音楽流通版）,,,,,,,,,,,,,,,,,,,
